jobOrResumeDescription,role
"Senior Business Analyst
SC Fuels44 re - Orange, CA 92867
 Now

 SUMMARY:

We are   a Senior Business Analyst, which is a critical  within the SC Fuels  organization. This Senior Business Analyst will maintain productive relationships with business stakeholders, built on a detailed understanding of our business operations, processes, people, systems, and priorities. This individual will document our stakeholders?  for  changes to systems, data, processes, and flows. The Senior Business Analyst will also  with application developers and vendors to review , approaches, timelines, and costs. They will serve as a subject matter expert to the application developers and vendors who are building new capabilities, and  with  and/or business teams to test the developed functionality. This  s closely with business analysts, application developers, vendors and stakeholders through each stage of the software development lifecycle and demonsts existing and new functionality to our stakeholders. This  requires a driven and detail-oriented analyst who can partner effectively at all levels of the organization, lead , drive results, and proactively identify and resolve problems.

The Senior Business Analyst must possess excellent written and oral communication  and be able to effectively present information to all levels in the organization, including senior executives.

ESSENTIAL DUTIES & :

    Maintain productive relationships with business stakeholders and consistently provide ups on project execution, approaches, costs, timelines as well as problems encountered and plans to overcome them.
    Develop a detailed understanding of our  platforms, including their criticality, features, configurations, interfaces, data models, and how employees leverage these systems to perform their s.
    Effectively capture detailed business , use cases, process flows and  with application developers to review.
    Develop documentation necessary to ensure successful estimation, technical approach and delivery of technical . Artifacts and level of detail will vary based on size and complexity of stakeholder requests.
    Contribute to the library of artifacts and processes that SC Fuels uses to capture  and execute  .
     with key resources (internal and external) to develop high-level labor estimates, conduct gap analysis between application and stated customer  and deploy functionality.
     with appropriate IT staff to communicate, verify, and test the desired functionality changes
    Ensure all business needs are addressed by demonstrating in-system changes
    Assist business stakeholders with the development of training materials for newly deployed functionality.
    Manage multiple competing priorities through effective organization and communication
    Manage a project?s scope, acceptance, installation, and deployment from start to finish.
    Report on technical issues and questions, make recommendations to the technical team
    Constantly be on the lookout for ways to improve business practices and efficiencies. Proactively suggest improvements to our  platforms, vendors and processes.
    Practice knowledge transfer and foster change management as the organization changes and new  are . There should be a focus on team/individual development as well as a drive to be a contributor.

:

    Exceptional written and verbal communication 
    A solid understanding of business functional areas, business management issues and data analysis
    Leadership aptitude
    Strong analytical thinking and problem-solving 
    Business case development and cost/benefit analysis experience
    Ability to prioritize  and create prototypes and mockups
    Team-focused/collaborative  style
    Demonstd ability to  successfully on large 
    Problem solving  evidenced by demonstd results in past s
    Ability to  under tight deadlines and handle multiple/detail-oriented tasks
    Ability to communicate and influence at all levels of the organization
    Experience with waterfall, agile, and hybrid project management approaches .
    Project management credentials .
    Ability to travel (minimal)
    : 5 years -related experience as a business analyst in an information  organization. Experience managing senior stakeholder relationships.
    :  - specifically with ERP systems, ETL, and databases. Experience with DM2 and Trinium or any standard ERP system

 TO BE USED:

    Hardware ?PC/Laptop
    Operating Systems ?Windows 10
     ? MS Office Suite: Office 365, Project, Visio
    Collaboration: Slack, Skype, Zoom, Webex, GoToMeeting
    Databases: MS Access, SQL Server
    ERP Systems: Trinium, DM2

SC Fuels is an . EOE/AA/M/F/Vets/Disabled

 Type: Full-time

Experience:

    Business Analyst: 5 years ()
    DM2: 2 years ()
    ERP Systems: 3 years ()
    Project Management: 5 years ()
    Trinium: 2 years ()

30+ 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Analyst
"Manager, Data & Analytics Modeler, Machine Learning
KPMG6,154 re - Irvine, CA 92618


Innovate. Collabo. Shine. Digital Lighthouse houses KPMG's specialized capabilities across the digital landscape: applied data science, AI, data engineering and insights, software engineering, automation, and big data. Here, you'll  with a sophisticated team of professionals to explore solutions for clients in a multiplatform environment. This means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and . Be a part of a high-energy, unique, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. In this particular , you'll  specifically in the AI Analytics & Engineering Community within the Digital Lighthouse, on a wide range of . From applied AI to optimization to big data platform engineering, your analytical and  will drive real impact in the business world. So, bring your ingenuity and pioneering spirit to KPMG Digital Lighthouse.

KPMG is   a Manager to join our KPMG Lighthouse - Center of Excellence for Advanced Analytics.

:

    Lead multi-disciplinary and cross-functional teams to identify business opportunities and define artificial intelligence solutions; Utilize processes and best practices to plan, lead, and execute delivery of artificial intelligence engagements, and  with clients to manage risks, set expectations and ensure successful delivery across different areas (, financial services, emerging tech, government agencies ? federal, state and local, and utilities)
    Deliver client project modeling  stream through direct ownership of data integration, validation, mining, and quantitative modeling deliverables; Lead project delivery by tracking and communicating project risks, budget, s, and launch/closeout activities, including the administration of  papers and collaboration sites
    Assess, capture and translate issues and  into structured analytics use case, including rapid learning of industry/domain/client dynamics and development of effective  stream plans
     with clients to discover data sources, and create data requests; Lead the ETL process to ingest and enrich structured and unstructured data; Leverage a variety of data sources such as social media, news, internal/external documents, images, video, voice, emails, financial data and operational data
    Plan engagement s and key deliverables; manage using analytics processes to mitigate risks in data, modeling, validation and delivery;  with team members to capture assumptions, and risks, and develop approaches to mitigate issues; Deliver on engagement milestones by following analytics processes to mitigate risks in data, modeling, validation and delivery; manage assumptions, risks, and  with others to clear issues
    Proactively broaden and deepen client relationships by ing with varying levels of client team members

:

    Minimum five years of experience involving modeling (regression, machine learning, feature selection, dimension, reduction, validation); Data (extracting, preparing, munging, validating); Building analytics pipelines, data science landscape and software development lifecycle; Two years of training specific to artificial intelligence, and five years of experience leading teams of five or more data scientists, engineers and other data & analytics professionals
    Bachelor's degree or Master's degree from an accredited college/university in a quantitative discipline, such as Data Science, Analytics, Computer Science, Engineering, or Mathematics
    Strong knowledge in delivering analytics  using leading processes including skilled knowledge of data discovery, cleaning, model selection, validation, and deployment; designing and building of machine learning pipelines (data extraction, feature engineering from structured and unstructured data)
    Ability to  artificial intelligence techniques to achieve concrete business goals; ability to  with the business to understand available resources and constraints around data (sources, integrity, and definitions), processing platforms, and security; Provide assistance and resolve problems, using solid problem-solving  with strong verbal/written communication 
    Proficiency with sophisticated analytics  and programming languages such as SAS, R, Python, Java, Spark, Hadoop, Alteryx and SQL; Data visualization  such as Tableau and QlikView
    Ability to travel up to eighty percent of the time; Applicants must be  authorized to  in the United States without the need for visa sponsorship now or in the future

KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-. KPMG complies with all applicable federal, state and local laws regarding recruitment and . All qualified applicants are considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and  laws. No phone calls or agencies please.
29 

	",Data Analyst
"Business Analyst
First American1,850 re - Irvine, CA 92612

Company Summary

Join our team! First American's Direct division provides comprehensive  insurance protection and professional settlement services for real estate purchases, refinances and equity loans. As a global leader in providing  insurance, settlement services and risk solutions for real estate transactions, First American (NYSE: FAF) is an ideal place to build your career. We have been entrusted with helping our customers achieve and protect their dream of homeownership since 1889. We believe that our people are the key to the company?s continued success, and we invest in diverse talents and backgrounds and empower our teams to achieve more than they could anywhere else. First American has created an award-winning culture and has been named to the Fortune 100 Best Companies to  For? list for the fourth consecutive year and to more than 50 regional Best Places to  lists. For more information, please visit www.careers.firstam.com

 Summary

The process analyst for our New Homes Division oversees one or more  on an ongoing and regular basis. Individually, or as part of a team, responsible for project planning and risk management, and issue resolution. Duties may include: assembling project team, assigning individual , identifying appropriate resources needed, developing schedules to ensure timely completion of project, communicating project status and issues to team and management, acting to reduce risk and resolve issues. Coordinates with other  and  groups.

Essential Functions
Oversee small  or phases of a medium project.
Coordinates activities of project team, identifying appropriate resources needed, and developing schedules to ensure timely completion of project.
Responsible for defining system scope and project s to support business needs, as well as define the  and function of each team member, in order to effectively coordinate the activities of the team.
Regularly facilitates status and milestone meetings with cross functional groups.

 Complexities
s on problems of mode scope where analysis of situations or data requires a review of a variety of factors.
Exercises judgment to determine appropriate action.
Detects situations that may cause risk to the project and its completion and escalates these issues to other team members.
Errors may cause minor project delays and/or missed project deadlines.

Supervision Received or Extended
s under general direction
Uses expertise of more senior level team members and leverages additional resources to confirm solution or explore customized applications as a solution.
Assign duties, , and scope of authority to project personnel.
Provides input to and achieves set s.
Negotiates, persuades, and gains consensus from implementation team and/or management on assigned .No responsibility for supervision of others

Knowledge and / Used
MS Software 
Analytical review 
Strong project planning 
Experience facilitating meetings with cross functional team members.
Presentation 

Typical Education
Generally requires BS Degree in a business field or equivalent  experience.

Typical Range of Experience
Typically have 2- 4 years of directly related experience.

First American invests in its employees' development and well-being, empowers them to provide superior customer service and encourages them to serve the communities where they live and . First American is committed to diversity and inclusion. We are an . For more information about our Company and our dedication to putting People First, check out firstam.com/careers.
Today

	",Data Analyst
"Senior Data Analyst
Kelly Services14,506 re - Irvine, CA 92618


Kelly Outsourcing & Consulting Group (KellyOCG), a managed solution provider and business unit of Kelly Services, Inc., is   an Sr. Data Analyst for a long-term engagement at one of our Global clients in Irvine, CA.

This  is a full-time, fully benefitted .

As a KellyOCG employee you will be eligible for Medical, Dental, 401K and a variety of other benefits to choose from. You?ll also be eligible for paid time off, including holiday, vacation, and sick/personal time. All KellyOCG employees receive annual performance re.

 :

    With supervision,  is responsible for analyzing industry, customer, and competitive insights within the Global Business Insights team (GBII.
     is responsible for executing primary and secondary research, identifying key insights, and building executive level presentation slides to communicate insights.
     will maintain and refresh market and  reporting processes and will be responsible for quality control, data validation, data coding, IT relationship management, and enhancing process efficiency.
     will require broad cross-functional neting, proactive dashboard creation and development, and strong presentation .
    With supervision,  will  with the Business Unit teams to develop stgic market insights, including but not limited to opportunity identification, competitor pipeline, commercial stgy, tactical and stgic plans, and marketplace conditions and  scenarios.
    With supervision, design and execute primary research studies to deepen market understanding and drive business stgy.

 Duties and :

    With supervision, synthesize data from various sources to form recommendations and actionable insights
    Utilize Excel, Tableau to identify and analyze data to support key organizational stgies
    Integ and analyze large datasets and ensure high quality of data
    Develop and maintain MS Excel and Tableau dataset.
    Develop and maintain internal Point data libraries and communication materials
    With direction, demonst an ability to implement competitive insight and analysis  in support of assigned business unit / region.
    Develop and execute primary research studies

 Education and/or Experience:

    Bachelor?s degree and 2 years of experience in Analyst/Sr. Analyst or similar 
    Advanced Excel  are , and a competency test will be administered. Advanced knowledge of V-Lookup, Formulas and Formatting .
    Proficiency with database management  and presentation of data analysis and visualization tool ? Tableau software is 
    Strong quantitative and analytic abilities to analyze and vali data
    Excellent computer  (Word, PowerPoint, Point)
    Experience in the medical device, hospital specialty, or healthcare field is  but not 
    Ability to  in a matrix environment where a high degree of collaboration is needed
    Demonstd success in creative problem solving and team partnership is .
    Due to the nature of information reviewed in the , candi must demonst a high level of discretion and confidentiality
    Strong project management 
    Primary research experience  but not 
    Ability to organize and present information to internal business partner
    **Once candi has an established track record of performance, client is supportive of ing from home 1-2 days per week (or more) as needed

Important information: This  is recruited for by a remote Kelly office, not your local Kelly branch. Applicants must be legally permitted to  in the United States immediately and without employer sponsorship (F1 OPT/H1B cannot be considered for this ).



Why Kelly??

As a er today, it?s up to you to take charge of your career and look for opportunities to learn, grow, and achieve your potential. Helping you find what?s next is what we?re all about. We know what?s going on in the evolving world of ?just ask the nearly 500,000 people we employ each year. Connecting with us means getting the support, guidance, and opportunities needed to take your career where you may have never imagined.

About Kelly?

At Kelly, we?re always thinking about what?s next and advising  seekers on new ways of ing to reach their full potential. In fact, we?re a leading advocate for temporary/nontraditional styles, because we believe they allow flexibility and tremendous growth opportunities that enable a better way to  and live. Connecting great people with great companies is what we do best, and our employment opportunities span a wide variety of styles, skill levels, and industries around the world.

Kelly is an  committed to employing a diverse force, including, but not limited to, minorities, females, individuals with disabilities, protected veterans, sexual orientation, gender identity. Equal Employment Opportunity is The Law.
17 

	",Data Analyst
"Data Scientist- Re to Saudi Arabia
Saudi Aramco1,005 re - United States


Saudi Aramco is  an Engineer for the development and implementation of data analytics solutions to join the Process & Control Systems Department/Advanced Process Solutions Division, based in Dhahran, Saudi Arabia.

The Advanced Process Solutions Division provides engineering expertise in Manufacturing Operations Management, Decisions Support Applications, Advanced Process Control, Process Modeling and Optimization, and Advanced Analytics .

The successful candi will have a strong background in data science, machine learning, statistical modeling as well as a basic knowledge of standard process historians. Experience with data science and machine learning is .

The candi should understand statistical and predictive modeling concepts, as well as supervised and unsupervised learning techniques.

Minimum :
BS in Chemical Engineering, Electrical Engineering or Computer Engineering or other related degree from an accredited university.

Advanced degree in data analytics, data science, applied statistics, operations research, process optimization or a related quantitative discipline is an asset.

Course  in applied statistics, data mining, machine learning, and optimization techniques is a must.

Understanding of statistical and predictive modeling concepts, machine-learning approaches, neural nets, clustering and classification techniques, and optimization algorithms is .

Knowledge of Python, R, Matlab & other machine learning frames is a must. General analytics (e.g. INFORMS CAP) and/or platform specific certification as an asset.

Experience with selecting appropriate machine learning algorithms, building predictive and forecasting models, and solution deployment and maintenance is .

Experience with deployment of advanced analytics solutions based on machine learning techniques in upstream and downstream processes will be an asset.

Knowledge of plant automation systems, standard real time interfaces such as OPC and process historians such as PI is .

Experience with identification of new advanced analytics use cases, business value quantification and ing with multi-disciplinary teams on delivering analytics solutions will be an asset.

Awareness of Digital Transformation area and experience with delivering Digitalization initiatives will be an asset.

Candis should have 5-10 years of experience in a technical specialty, have experience in oil and gas business and applications (refineries, gas plants, producing), and recognized as a potential technical leader in his/her field.

Duties & :
The candi will be responsible for the following:

Provides expert advice and assistance to Company organizations, outside vendors, and  firms on matters relating to his/her area of expertise.

Originates and carries out studies to identify potential advanced analytics use cases and applications to existing problems resolve complex technical problems, increase revenue, optimize processes, protect the environment, or improve safety using their advanced analytics/data science background.

Develops and maintains Best Practices, or other documentation to enhance company profitability, safety and productivity in the advanced analytics/data science area.

Examines the business problem and identifies the  learning task (i.e. classification, clustering, regression, forecasting ? etc.)

Selects appropriate Machine Learning algorithms suited for the selected learning task and condition/structure of the data. This includes but not limited to Decision Tree/Forest, Support Vector Machines, kNN, Neural Net and deep learning.

Builds and deploys predictive models using algorithms such as linear/logistic/dynamic regression to address the business needs.

Re and evaluates the capabilities of vendors and contractors to determine their acceptability to perform major services to Aramco.

Acts as Aramco?s representative in dealings with vendors and manufacturers pertaining to their field of experience.

s on or with Task Forces assigned to investigate incidents or solve specific problems using their data science/analytics background. Undertakes special assignments requiring extensive technical experience and discretion when dealing with outside organizations.

Conducts presentations in the resolution of technical problems with personnel in other organizations.

Writes papers for peer-reviewed journals on studies and  they has overseen.

Provides leadership to others assigned to assist them.

Acts as a professional mentor to less senior specialists and engineers.

Promotes a learning environment and implements self-development to maintain and improve expert status within his/her specialty.

About us:
The Engineering & Project Management (E&PM) business line studies, plans and oversees the construction of the Company?s new facilities, including some of the biggest and most complex  in the petum industry. Recently, Saudi Aramco completed the largest capital program in its history that included new or expanded oil, gas and petrochemical facilities, raising maximum sustainable crude oil production capacity to 12 million barrels per day and significantly increasing gas production and processing capacities. Among the recently completed  was the largest crude oil increment in the history of the industry: Khurais, with a production capacity of 1.2 million barrels per day. More challenges lie ahead, with a slate of new or expanded oil, gas, refining and petrochemical  in the s. E&PM also manages the Company?s Research & Development Center where scientists investigate topics such as the desulfurization of crude oil, advanced fuel formulations for next generation combustion engines, and reservoir nano-scale robots (Resbots?) for injection into reservoirs to record their properties.
30+ 

	",Data Scientist
"Lead Data Scientist
CitiusTech92 re - Lake Forest, CA 92630
 Now

    10 years of experience in Data Analysis
    Postgraduate qualification in Statistics (OR Computer Science) from a premier institute
    Having hands-on experience on advanced analytics concepts and ML algorithms (e.g. Regression analysis, Logistic Regression, Decision Trees and random forest, Neural net and deep learning, Survival Analysis, Time series analysis etc.)
    Exposure to  ? R, Python, Weka,
    Excellent communication 
    Excellent critical thinking and problem solving 
    Developing advanced algorithms that solve problems of large dimensionality in a computationally efficient and statistically effective manner
    Implementing statistical and data mining techniques e.g. hypothesis testing, machine learning, and retrieval processes on a large amount of data to identify trends, patterns and other relevant information
    Collaborating with clients and other stakeholders to effectively integ and communicate analysis finding
    Providing guidance and project management support to the Associates on the team
    Evaluating emerging datasets and  that may contribute to our existing analytical platforms
    Establish the scope of the project, lead internal communication with stakeholders, and ensure delivery of the project per commitment.
    Contributing to the thought leadership of the company by helping in re the evolving topics and publishing them

oXSnuEZD3l
30+ 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Scientist
"Data Scientist
Gustaine - Orange, CA
 Now
 Summary / Purpose

Highly motivated self-driven Engineer in statistics / predictive modeling / data quality to lead and guide multi-disciplinary project teams addressing key challenges for different businesses. Creation of intellectual property will be a key expectation in this .

Essential 

As a senior data scientist in the Modeling and Optimization, you will create and guide programs to invent and deliver predictive modeling and decision  for diverse businesses such as Finance, Aviation, Transportation, Oil and Gas and Healthcare.

You will lead and drive programs in areas such as statistical algorithms for processing massive time series data, statistical risk modeling and development of novel algorithms for detecting and correcting anomalies in complex data. Typical applications include developing novel algorithms for early warning systems, building models for medical prognostics and systems for anomaly detection / correction in monitoring and diagnostics data. You will be ing with some of the sharpest business minds across the globe on some of the most challenging business problems

 / 

We are looking for accomplished Fresh Graduates / colleagues with 1-2 years of experience, track record of project management, and demonstd ability to invent new approaches and/or  recent methodological advances in data science to solve applied problems. Candis should hold an MTech or MS in Industrial Engineering, Mathematics, Computer Engineering, Computer Sciences, Statistics with an excellent academic record and practical experience with recent advances in mathematical & computational sciences and statistical modeling.

The candi should have a demonstd strong foundation in probability, statistical theory with a deep understanding of statistical estimation, hypothesis testing, linear and logistic regression. A solid grounding in applied statistics including expertise in at least one of the following is a must: Reliability models, Bayesian modeling, statistical classification, cluster analysis, time series analysis, forecasting and multivariate statistics. Possessing strong Implementation and Programming  in one or more of Java, Python, SAS, R, Python, Matlab is a must.

Prior experience ing with very large datasets using Big Data  and platforms (Hadoop, PIG / HIVE / Mahout) is highly . Proven ability to lead complex  with multi-disciplinary teams and ability to  with global businesses to create new programs is a must. Expertise in modelling the behavior of a complex real time dynamic system.

Desired Characteristics

    PhD in Industrial Engineering, computer science, Comp Engg, Statistics, Mathematics, Statistics or related field
    Strong interpersonal 
    Excellent written and verbal communication 
    Experience ing with Financial engineering data ? aviation, healthcare, transportation, energy, oil & gas, etc

Send in your resume: guptaneel@gustaine.com
10 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Scientist
"Senior Data Scientist
Happy Money - Irvine, CA
 Now
ABOUT HAPPY MONEY

More than a finance company and more than a paycheck. We're looking for driven, bright and kind team members who are ready to help us deliver on our mission to help borrowers become savers.

Our team at Happy Money is made up of financial services professionals, marketers, technologists, service experts, data scientists, and designers with the d vision to provide financial  and services for human happiness!

Meet Happy Money, we're not just a business, we're a movement, providing financial  and services for human happiness, ing outside of the sad money complex with an innovative business money that s for members.

The category that needs a mission-based company the most ? finance/banking ? has none. It's time to leave mindless capitalism behind and usher in a new world of more mindful capitalism.

Our mission is helping borrowers become savers. Our values of love, trust and hustle are our culture and they inspire us to deliver for our team, our members, our partners, our investors and society.

Join the Happy Money Movement and help us deliver the future of Happy Financial Services.

ABOUT THE 

We are looking for an innovative and driven Data Scientist to join our team at Happy Money. In this , you will have a unique opportunity to build data-driven solutions that  to all facets of the Happy Money ecosystem. This includes financial modeling using alternative data sources, building behavioral models to enhance user experience and drive engagement, and building  to provide guidance to members. These  are all in the service of reducing stress, increasing happiness, and empowering people to take control of their financial lives.

Now is an exciting time to join the Happy Money team, as the company is growing rapidly and scaling quickly. The research and development carried out by the Data Science team is core to the company's philosophy and success, making each team member a vital contributor to the company as a whole.

    Create visualizations and dashboards to express your findings to key business stakeholders
    Uncover psychological and behavioral markers of positive financial outcomes to help educate members and increase the utility of our products
     closely with our Risk & Analytics team to uncover new ways to identify creditworthiness to provide financial support to a wider audience
    Partner with Product and Engineering teams to bring your models to production
    Be a thought pioneer in new and ongoing directions of scientific research and implementation at the company level

ABOUT YOU

    Master's degree in math, statistics, psychology, neuroscience, computer science, physics, or another quantitative field
    3+ years of industry experience in science and analytics , along with equivalent academic background
    3 + years of experience with experimental design and A/B testing frames
    3+ years of experience with analytics packages in R, Python, or Spark
    Proficiency in SQL
    3+ years of experience building supervised and unsupervised models using statistical or machine learning approaches
    Experience deploying production models or model pipelines either via API (e.g. AWS Lambda) or containerized solution (Docker, Kubernetes,

etc.)

    Ability to creatively problem-solve, and to thrive in a highly collaborative, multidisciplinary environment
    Ability to clearly articulate research goals and results to scientific and business audiences

BONUS POINTS FOR

    Ph.D. in psychology, neuroscience, statistics, physics, math, or another quantitative field
    Prior professional experience in the financial industry
    Ability to initiate and drive  from ideation to implementation
    Prior professional experience ing with behavioral or psychometric data
    Prior professional experience building deep-learning models and familiarity with the popular frames (Tensorflow or PyTorch is a huge bonus)

WHY WE'RE AWESOME

    Rich employee medical benefits offering?most paid 100% by Happy Money!
    Generous vacation policy!
    Unlimited snacks, coffee, teas?whatever you're into, we've got it!
    Weekly Happy Money Hour?we love to mingle and enjoy great brews!
    Immigration sponsorship for qualified candis

30+ 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Scientist
"Sr Data Scientist
Cox Automotive520 re - Irvine, CA 92618


At Cox Automotive, our data scientists are responsible for leading the development of advanced analytics models to solve our customers? problems, improve our products and services, and inform internal business operations and stgy. They will  closely with business stakeholders as the subject matter expert on the application of statistics and modeling across multiple leading digital automotive brands.


Day to day, the Senior Data Scientist will:

    Anticipate future business needs and identify appropriate opportunities for modeling, simulation, or machine learning
    Gather and analyze data to solve and address highly complex business problems, make predictions on future outcomes, and provide prescriptive solutions that support decision making
    Be involved in all phases of analytics  including question formulation, research, development, implementation, testing, and maintenance
    Explore data and build advanced analytical models, then present and discuss the resulting models to any level of audience

:

:

    Bachelor's degree in math, statistics, operations research, computer science engineering, econometrics, quantitative social science, or other quantitative field OR an equivalent combination of education and  related experience
    5+ years of industry ing experience performing advanced quantitative analyses
    Professional experience ing with Python/R and SQL
    Professional experience with big data manipulation
    Proven ability to  advanced statistical methodologies such as multiple regression model, mixed models, time series models (Bayesian ), neural nets, cluster analysis, text mining, and have prior experience in optimization, simulation, marketing mix, multivariate testing, ensemble modeling, graph algorithms
    Ability to  advanced optimization methodologies such as linear and mixed integer optimization
    Ability to  advanced simulation modeling methodologies and techniques.
    Must have relational database experience

    A strong passion for empirical research and for answering hard questions with data
    Curiosity, humility, and empathy

:

    Masters? degree or Ph.D.
    Digital experience
    Professional experience with software development practices


#LI-286

About Cox Automotive

Cox Automotive Inc. makes buying, selling and owning cars easier for everyone, while also enabling mobility services. The global company?s 34,000-plus team members and family of brands, including Autotrader?, Clutch , Dealer.com?, Dealertrack?, Kelley Blue Book?, Manheim?, NextGear Capital?, VinSolutions?, vAuto? and Xtime?, are passionate about helping millions of car shoppers, tens of thousands of auto dealer clients across five continents and many others throughout the automotive industry thrive for generations to come. Cox Automotive is a subsidiary of Cox Enterprises Inc., a privately-owned, Atlanta-based company with revenues exceeding $20 billion. www.coxautoinc.com

Cox is an Equal Employment Opportunity employer - All qualified applicants/employees will receive consideration for employment without regard to that individual?s age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law.

Statement to ALL Third-Party Agencies and Similar Organizations: Cox accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Cox employees, Cox  manager, or send to any Cox facility. Cox is not responsible for any fees or charges associated with unsolicited resumes.

30+ 

	",Data Scientist
"Machine Learning Engineer
SimInsights - Lake Forest, CA 92630
Full-time, Part-time, Contract
 Now



     state of the art machine learning techniques (deep learning, RL and other techniques) to solve problems in multiple fields including computer vision, natural language processing, recommendation systems and others.
    Vision problems include object and action recognition in indoor settings.
    NLP problems include question answering.
    Use rigorous statistical methods to analyze data arising from IoT systems, games, simulations, websites and apps to derive actionable insights.
    Comfortable ing in multiple domains including manufacturing, healthcare and education. Rapidly learn new domains by ing with others in the team.
    Automate processes by developing software modules in collaboration with software engineering teams. Requires software engineering .
     with our partner companies which include leading software and hardware vendors.
    Understand  through regular interaction with concerned stakeholders including counterparts in the US and other offices.
    Ensure thorough quality testing and documentation of the software developed.
    Constantly learn and innovate to stay on the cutting edge of knowledge and .



    PhD or MS degree in computer science, statistics or other engineering disciplines.
    Strong course, project and/or  experience.
    Must be comfortable reading research papers and implement ideas or gene new ones.
    Must have good references.

 Types: Full-time, Part-time, Contract
30+ 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Engineer
"Data Scientist
Driveway11 re - Aliso Viejo, CA
 Now

We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candi will be intricately involved in running analytical experiments in a methodical manner and will regularly evaluate alternate models via theoretical approaches. They must have a proven ability to drive business results with their data-based insights.

Primary :

    Understanding data flow in a large, distributed system.

    Designing, coding and executing data investigations.

    Performing robust statistical analyses.

    Producing internal presentations, customer reports and visualizations to summarize the conclusions.

    Handle a diverse set of problems ranging from probabilistic interference on phone trajectories, data fusion between noisy sensors, modeling and classification of driving behavior, and data visualization.

    All other duties as assigned.


:

    Masters or PhD in Computer Science, Mathematics, or related field.

    3+ years performing data analysis on real world figures.

    Strong programming  for constructing and understanding data pipelines, particularly in Python (scipy/numpy) and SQL.

    Experience with modern/emerging scalable computing platforms and languages (e.g.Spark).

    Strong computer  including MS Office Suite, Google docs and other needed software platforms.

    Excellent oral, written and listening .

    Entrepreneurial spirit, desire to be part of an early stage startup.

    Bootstrapping mindset but obsessive about quality.

    Positive attitude with superior interpersonal .

    Honest and dependable.

    Comfortable ing across every level of an organization including company executives.

    Team player with the ability to display sensitivity, tact and responsiveness with current and prospective employees.

    Self-starter who accomplishes major tasks and initiatives with little supervision.

    Business-to-business experience a plus.

    Organized proactive problem solver.

    Ability to handle confidential and sensitive information.

    If you want to fill this , tell us why at s@driveway.ai

30+ 
If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.

	",Data Scientist
